6.1	15	20	14.6192	19.9955	14.6192	19.9955
6.2	15	20	14.6302	19.9978	14.6302	19.9978
6.3	15	20	14.6406	19.9995	14.6406	19.9995
6.4	15	20	14.6506	20.0009	14.6506	20.0009
6.5	15	20	14.6602	20.0019	14.6602	20.0019
6.6	15	20	14.6694	20.0027	14.6694	20.0027
6.7	15	20	14.6783	20.0033	14.6783	20.0033
6.8	15	20	14.6869	20.0037	14.6869	20.0037
6.9	15	20	14.6953	20.0041	14.6953	20.0041
7	15	20	14.7034	20.0044	14.7034	20.0044
7.1	15	20	14.7112	20.0046	14.7112	20.0046
7.2	15	20	14.7189	20.0048	14.7189	20.0048
7.3	15	20	14.7263	20.0049	14.7263	20.0049
7.4	15	20	14.7335	20.0051	14.7335	20.0051
7.5	15	20	14.7405	20.0051	14.7405	20.0051
7.6	15	20	14.7474	20.0052	14.7474	20.0052
7.7	15	20	14.754	20.0053	14.754	20.0053
7.8	15	20	14.7605	20.0053	14.7605	20.0053
7.9	15	20	14.7668	20.0054	14.7668	20.0054
8	15	20	14.7729	20.0054	14.7729	20.0054
8.1	15	20	14.7789	20.0054	14.7789	20.0054
8.2	15	20	14.7847	20.0054	14.7847	20.0054
8.3	15	20	14.7904	20.0054	14.7904	20.0054
8.4	15	20	14.7959	20.0054	14.7959	20.0054
8.5	15	20	14.8012	20.0054	14.8012	20.0054
8.6	15	20	14.8065	20.0054	14.8065	20.0054
8.7	15	20	14.8115	20.0054	14.8115	20.0054
8.8	15	20	14.8165	20.0054	14.8165	20.0054
8.9	15	20	14.8213	20.0054	14.8213	20.0054
9	15	20	14.826	20.0054	14.826	20.0054
9.1	15	20	14.8306	20.0053	14.8306	20.0053
9.2	15	20	14.835	20.0053	14.835	20.0053
9.3	15	20	14.8394	20.0053	14.8394	20.0053
9.4	15	20	14.8436	20.0052	14.8436	20.0052
9.5	15	20	14.8477	20.0052	14.8477	20.0052
9.6	15	20	14.8517	20.0052	14.8517	20.0052
9.7	15	20	14.8556	20.0051	14.8556	20.0051
9.8	15	20	14.8594	20.0051	14.8594	20.0051
9.9	15	20	14.8631	20.0051	14.8631	20.0051
10	15	20	14.8667	20.005	14.8667	20.005
10.1	15	20	14.8702	20.005	14.8702	20.005
